folder,pdf_name,pdf_path,iccd_code,csv_index,id_scheda_originale,png_name,png_path,status
abruzzo/1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi,1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi.pdf,0.original_foto_schede/abruzzo/1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi/1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi.pdf,1300309704,6994,6d183a01-cb70-45c7-8a14-530f8670b5ce,6d183a01-cb70-45c7-8a14-530f8670b5ce.png,1.output_png_schede/6d183a01-cb70-45c7-8a14-530f8670b5ce.png,exported
abruzzo/1300309779_PE_Mosciano Sant_Angelo_EDNN_scala esterna coperta,"Mosciano_Masseria Tattoni, _EDANN_casa scala esterna.pdf","0.original_foto_schede/abruzzo/1300309779_PE_Mosciano Sant_Angelo_EDNN_scala esterna coperta/Mosciano_Masseria Tattoni, _EDANN_casa scala esterna.pdf",,,,,,no_matching_iccd_code
abruzzo/1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi,1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi.pdf,0.original_foto_schede/abruzzo/1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi/1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi.pdf,1300310044,7320,73c1a68c-2463-4368-8601-caf96d07678f,73c1a68c-2463-4368-8601-caf96d07678f.png,1.output_png_schede/73c1a68c-2463-4368-8601-caf96d07678f.png,exported
abruzzo/1300310088_CH_Casoli_EDSING_scala est,1300310088_CH_Casoli_EDSING_scala est.pdf,0.original_foto_schede/abruzzo/1300310088_CH_Casoli_EDSING_scala est/1300310088_CH_Casoli_EDSING_scala est.pdf,1300310088,7344,6ad295a2-8456-478d-8919-5f3f134d8a77,6ad295a2-8456-478d-8919-5f3f134d8a77.png,1.output_png_schede/6ad295a2-8456-478d-8919-5f3f134d8a77.png,exported
abruzzo/1300310328_PE_Penne_EDSING_casa pendio_Formica2,1300310328_PE_Penne_EDSING_casa pendio_Formica2.pdf,0.original_foto_schede/abruzzo/1300310328_PE_Penne_EDSING_casa pendio_Formica2/1300310328_PE_Penne_EDSING_casa pendio_Formica2.pdf,1300310328,24581,bbd50aa9-fd4e-4ba6-8e18-05db10aa7726,bbd50aa9-fd4e-4ba6-8e18-05db10aa7726.png,1.output_png_schede/bbd50aa9-fd4e-4ba6-8e18-05db10aa7726.png,exported
abruzzo/1300310329_PE_Penne_EDSING_casolare_Formica3,1300310329_PE_Penne_EDSING_casolare_Formica2.pdf,0.original_foto_schede/abruzzo/1300310329_PE_Penne_EDSING_casolare_Formica3/1300310329_PE_Penne_EDSING_casolare_Formica2.pdf,1300310329,24612,e9d4ff11-ecea-4f5f-94d7-32668d4de9b0,e9d4ff11-ecea-4f5f-94d7-32668d4de9b0.png,1.output_png_schede/e9d4ff11-ecea-4f5f-94d7-32668d4de9b0.png,exported
abruzzo/1300310587_TE_Notaresco_EDANN_casa,1300310587_TE_Notaresco_EDANN_casa.pdf,0.original_foto_schede/abruzzo/1300310587_TE_Notaresco_EDANN_casa/1300310587_TE_Notaresco_EDANN_casa.pdf,1300310587,3231,b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e,b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e.png,1.output_png_schede/b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e.png,exported
abruzzo/1300310722_CH_Frisa_EDANN_casolare,CH_Frisa_EDANN_casolare.pdf,0.original_foto_schede/abruzzo/1300310722_CH_Frisa_EDANN_casolare/CH_Frisa_EDANN_casolare.pdf,1300310722,31400,aa81d643-2cb8-4036-a835-1d00ef8e5160,aa81d643-2cb8-4036-a835-1d00ef8e5160.png,1.output_png_schede/aa81d643-2cb8-4036-a835-1d00ef8e5160.png,exported
abruzzo/1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo,1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo.pdf,0.original_foto_schede/abruzzo/1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo/1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo.pdf,1300310736,28781,1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae,1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae.png,1.output_png_schede/1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae.png,exported
abruzzo/1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico,1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico.pdf,0.original_foto_schede/abruzzo/1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico/1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico.pdf,1300310738,33310,3e2be11e-aa89-43c5-b790-b1df4abccc14,3e2be11e-aa89-43c5-b790-b1df4abccc14.png,1.output_png_schede/3e2be11e-aa89-43c5-b790-b1df4abccc14.png,exported
abruzzo/1300310867_TE_EDANN_casa con torre_Mezzanotte,1300310867_TE_EDANN_casa con torre_Mezzanotte.pdf,0.original_foto_schede/abruzzo/1300310867_TE_EDANN_casa con torre_Mezzanotte/1300310867_TE_EDANN_casa con torre_Mezzanotte.pdf,1300310867,2393,210af39e-67b3-47fd-9c37-2d6d1344fa96,210af39e-67b3-47fd-9c37-2d6d1344fa96.png,1.output_png_schede/210af39e-67b3-47fd-9c37-2d6d1344fa96.png,exported
abruzzo/1300311099_Martinsicuro_EDANN_scala esterna_casale degli orti,1300311099_EDANN_scala esterna_casale degli orti.pdf,0.original_foto_schede/abruzzo/1300311099_Martinsicuro_EDANN_scala esterna_casale degli orti/1300311099_EDANN_scala esterna_casale degli orti.pdf,1300311099,35334,998a10e8-a7a7-4e2d-a134-3db547a17257,998a10e8-a7a7-4e2d-a134-3db547a17257.png,1.output_png_schede/998a10e8-a7a7-4e2d-a134-3db547a17257.png,exported
abruzzo/1300311422_TE_Campli_COM_casa a edifici affiancati_Paganni sup3,1300311422_TE_Campli_COM_casa a edifici affiancati_Paganni sup3.pdf,0.original_foto_schede/abruzzo/1300311422_TE_Campli_COM_casa a edifici affiancati_Paganni sup3/1300311422_TE_Campli_COM_casa a edifici affiancati_Paganni sup3.pdf,1300311422,3520,99a42f4a-6d27-4231-afee-c294586f37c8,99a42f4a-6d27-4231-afee-c294586f37c8.png,1.output_png_schede/99a42f4a-6d27-4231-afee-c294586f37c8.png,exported
abruzzo/1300311545_CH_Celenza sul Trigno_EDANN_scalaest_Masseria La Pezza,CH_Celenza sul Trigno_EDANN_scalaest_Masseria La Pezza.pdf,0.original_foto_schede/abruzzo/1300311545_CH_Celenza sul Trigno_EDANN_scalaest_Masseria La Pezza/CH_Celenza sul Trigno_EDANN_scalaest_Masseria La Pezza.pdf,1300311545,35150,8ab1f17e-961d-47da-a964-2d246cc6fc5b,8ab1f17e-961d-47da-a964-2d246cc6fc5b.png,1.output_png_schede/8ab1f17e-961d-47da-a964-2d246cc6fc5b.png,exported
abruzzo/1300311639_CH_Ripa Teatina_casa con torre_Casale De Matteis,1300311639_CH_Ripa Teatina_casa con torre_Casale De Matteis.pdf,0.original_foto_schede/abruzzo/1300311639_CH_Ripa Teatina_casa con torre_Casale De Matteis/1300311639_CH_Ripa Teatina_casa con torre_Casale De Matteis.pdf,1300311639,34319,8b5147ba-f00d-47ca-8b2c-84b64febe89e,8b5147ba-f00d-47ca-8b2c-84b64febe89e.png,1.output_png_schede/8b5147ba-f00d-47ca-8b2c-84b64febe89e.png,exported
abruzzo/1300311644_TE_Atri_COM_Masseria NO è una scala esterna_Masseria Ferretti,TE_Atri_COM_Masseria NO è una scala esterna_Masseria Ferretti.pdf,0.original_foto_schede/abruzzo/1300311644_TE_Atri_COM_Masseria NO è una scala esterna_Masseria Ferretti/TE_Atri_COM_Masseria NO è una scala esterna_Masseria Ferretti.pdf,1300311644,34659,28e139a0-20b2-4cff-a322-eff45fb2892f,28e139a0-20b2-4cff-a322-eff45fb2892f.png,1.output_png_schede/28e139a0-20b2-4cff-a322-eff45fb2892f.png,exported
abruzzo/1300311790_Montazzoli_EDANN_casolare_Masseria Baronessa,1300311790_Montazzoli_EDANN_casolare_Masseria Baronessa.pdf,0.original_foto_schede/abruzzo/1300311790_Montazzoli_EDANN_casolare_Masseria Baronessa/1300311790_Montazzoli_EDANN_casolare_Masseria Baronessa.pdf,1300311790,39674,0a88637e-305b-4658-af0f-cb04a4db9cbf,0a88637e-305b-4658-af0f-cb04a4db9cbf.png,1.output_png_schede/0a88637e-305b-4658-af0f-cb04a4db9cbf.png,exported
abruzzo/1300311799_Vicoli_EDSING_casa con torre_Contrada De Contra,13_00311799_Vicoli_EDSING_casa con torre_Contrada De Contra.pdf,0.original_foto_schede/abruzzo/1300311799_Vicoli_EDSING_casa con torre_Contrada De Contra/13_00311799_Vicoli_EDSING_casa con torre_Contrada De Contra.pdf,1300311799,39783,5b28f6a0-2693-4d86-a73f-2b3b50a1ca96,5b28f6a0-2693-4d86-a73f-2b3b50a1ca96.png,1.output_png_schede/5b28f6a0-2693-4d86-a73f-2b3b50a1ca96.png,exported
abruzzo/1300312018_CH_Casa in località Colle Marcone_EDSING_casa di terra,1300312018_CH_Casa in località Colle Marcone_EDSING_casa di terra.pdf,0.original_foto_schede/abruzzo/1300312018_CH_Casa in località Colle Marcone_EDSING_casa di terra/1300312018_CH_Casa in località Colle Marcone_EDSING_casa di terra.pdf,1300312018,34593,5f24727e-8706-4d4f-8a41-54b801ea099a,5f24727e-8706-4d4f-8a41-54b801ea099a.png,1.output_png_schede/5f24727e-8706-4d4f-8a41-54b801ea099a.png,exported
basilicata/1700223823_PZ_Roccanova_edificio singolo_casa a scala esterna,download (13).pdf,0.original_foto_schede/basilicata/1700223823_PZ_Roccanova_edificio singolo_casa a scala esterna/download (13).pdf,1700223823,654,55c5a507-edae-4a4f-8083-eb192b22fa49,55c5a507-edae-4a4f-8083-eb192b22fa49.png,1.output_png_schede/55c5a507-edae-4a4f-8083-eb192b22fa49.png,exported
basilicata/1700223900_MT_Matera_complesso_masseria,download (13).pdf,0.original_foto_schede/basilicata/1700223900_MT_Matera_complesso_masseria/download (13).pdf,,,,,,no_matching_iccd_code
basilicata/1700223921_PZ_Senise_edificio singolo_casa a padiglione,download.pdf,0.original_foto_schede/basilicata/1700223921_PZ_Senise_edificio singolo_casa a padiglione/download.pdf,1700223921,1349,f349f760-6055-4d07-8b2d-50187ac7f4a1,f349f760-6055-4d07-8b2d-50187ac7f4a1.png,1.output_png_schede/f349f760-6055-4d07-8b2d-50187ac7f4a1.png,exported
basilicata/1700223927_MT_Matera_complesso_masseria,download (13).pdf,0.original_foto_schede/basilicata/1700223927_MT_Matera_complesso_masseria/download (13).pdf,1700223927,1406,60511cf4-8309-4244-91d9-a1e0c0cafcdd,60511cf4-8309-4244-91d9-a1e0c0cafcdd.png,1.output_png_schede/60511cf4-8309-4244-91d9-a1e0c0cafcdd.png,exported
basilicata/1700223942_PZ_Senise_edificio singolo_casa di pendio,download.pdf,0.original_foto_schede/basilicata/1700223942_PZ_Senise_edificio singolo_casa di pendio/download.pdf,1700223942,1331,db7c58dc-d2f5-4592-b7d2-516f859bff20,db7c58dc-d2f5-4592-b7d2-516f859bff20.png,1.output_png_schede/db7c58dc-d2f5-4592-b7d2-516f859bff20.png,exported
basilicata/1700223963_MT_S.Giorgio Lucano_edificio singolo_casa di pendio,download (13).pdf,0.original_foto_schede/basilicata/1700223963_MT_S.Giorgio Lucano_edificio singolo_casa di pendio/download (13).pdf,1700223963,1437,05d3a360-1671-43f6-8beb-4babef434277,05d3a360-1671-43f6-8beb-4babef434277.png,1.output_png_schede/05d3a360-1671-43f6-8beb-4babef434277.png,exported
basilicata/1700223985_PZ_S.Arcangelo_edificio con annessi_casa con torre,download (2).pdf,0.original_foto_schede/basilicata/1700223985_PZ_S.Arcangelo_edificio con annessi_casa con torre/download (2).pdf,1700223985,1395,dbb213a4-c091-4685-bb2d-27d192028206,dbb213a4-c091-4685-bb2d-27d192028206.png,1.output_png_schede/dbb213a4-c091-4685-bb2d-27d192028206.png,exported
basilicata/1700224712_PZ_Satriano di Lucania_edificio singolo_casolare,download (6).pdf,0.original_foto_schede/basilicata/1700224712_PZ_Satriano di Lucania_edificio singolo_casolare/download (6).pdf,1700224712,5553,b531c252-b640-4bcd-92ad-29f15f20334f,b531c252-b640-4bcd-92ad-29f15f20334f.png,1.output_png_schede/b531c252-b640-4bcd-92ad-29f15f20334f.png,exported
basilicata/1700224713_PZ_Satriano_edificio singolo_casa a scala esterna,download (13).pdf,0.original_foto_schede/basilicata/1700224713_PZ_Satriano_edificio singolo_casa a scala esterna/download (13).pdf,1700224713,5319,e38b93a0-926d-4307-a4f9-f1d6bd77a877,e38b93a0-926d-4307-a4f9-f1d6bd77a877.png,1.output_png_schede/e38b93a0-926d-4307-a4f9-f1d6bd77a877.png,exported
basilicata/1700224722_PZ_Satriano di Lucania_edificio con annessi_casa con torre,download (6).pdf,0.original_foto_schede/basilicata/1700224722_PZ_Satriano di Lucania_edificio con annessi_casa con torre/download (6).pdf,1700224722,24541,79a617d8-85a3-42d6-9c31-eda77ab525b2,79a617d8-85a3-42d6-9c31-eda77ab525b2.png,1.output_png_schede/79a617d8-85a3-42d6-9c31-eda77ab525b2.png,exported
basilicata/1700224729_PZ_Satriano di Lucania_complesso_insediamento rurale,download (6).pdf,0.original_foto_schede/basilicata/1700224729_PZ_Satriano di Lucania_complesso_insediamento rurale/download (6).pdf,1700224729,24571,3ad076d5-1819-4cb6-a0dc-0b80337dca35,3ad076d5-1819-4cb6-a0dc-0b80337dca35.png,1.output_png_schede/3ad076d5-1819-4cb6-a0dc-0b80337dca35.png,exported
basilicata/1700224740_PZ_Savoia di Lucania_edificio singolo_casa a scala esterna,download (13).pdf,0.original_foto_schede/basilicata/1700224740_PZ_Savoia di Lucania_edificio singolo_casa a scala esterna/download (13).pdf,1700224740,5696,7682d9c6-b05c-4d56-8b44-fd281309784a,7682d9c6-b05c-4d56-8b44-fd281309784a.png,1.output_png_schede/7682d9c6-b05c-4d56-8b44-fd281309784a.png,exported
basilicata/1700224768_PZ_Marsico Nuovo_complesso_masseria,download (13).pdf,0.original_foto_schede/basilicata/1700224768_PZ_Marsico Nuovo_complesso_masseria/download (13).pdf,1700224768,1277,2b0f3bae-705b-460b-9f44-11a84848197a,2b0f3bae-705b-460b-9f44-11a84848197a.png,1.output_png_schede/2b0f3bae-705b-460b-9f44-11a84848197a.png,exported
basilicata/1700224770_PZ_Marsico Nuovo_complesso_masseria,download (13).pdf,0.original_foto_schede/basilicata/1700224770_PZ_Marsico Nuovo_complesso_masseria/download (13).pdf,1700224770,47,9a47df01-c4d6-4117-81f8-bb30a1ddd8a4,9a47df01-c4d6-4117-81f8-bb30a1ddd8a4.png,1.output_png_schede/9a47df01-c4d6-4117-81f8-bb30a1ddd8a4.png,exported
basilicata/1700224774_PZ_Marsico Nuovo_complesso_masseria,download (13).pdf,0.original_foto_schede/basilicata/1700224774_PZ_Marsico Nuovo_complesso_masseria/download (13).pdf,1700224774,1226,903abca8-2373-4d79-81c5-c64d39dd1113,903abca8-2373-4d79-81c5-c64d39dd1113.png,1.output_png_schede/903abca8-2373-4d79-81c5-c64d39dd1113.png,exported
basilicata/1700224796_MT_Miglionico_complesso_masseria,download (13).pdf,0.original_foto_schede/basilicata/1700224796_MT_Miglionico_complesso_masseria/download (13).pdf,1700224796,22090,1b8a5a59-694e-45ba-9bd8-665bf5d42c51,1b8a5a59-694e-45ba-9bd8-665bf5d42c51.png,1.output_png_schede/1b8a5a59-694e-45ba-9bd8-665bf5d42c51.png,exported
basilicata/1700225490_PZ_Ginestra_edificio con annessi_casino,download (6).pdf,0.original_foto_schede/basilicata/1700225490_PZ_Ginestra_edificio con annessi_casino/download (6).pdf,1700225490,31355,5e0ac060-f3bb-4b92-88d1-a90426edcf57,5e0ac060-f3bb-4b92-88d1-a90426edcf57.png,1.output_png_schede/5e0ac060-f3bb-4b92-88d1-a90426edcf57.png,exported
basilicata/1700225563_PZ_Guardia Perticara_edificio singolo_casa a scala esterna,download (13).pdf,0.original_foto_schede/basilicata/1700225563_PZ_Guardia Perticara_edificio singolo_casa a scala esterna/download (13).pdf,1700225563,38658,384af2f5-11cb-41b5-ba80-cbb511d37283,384af2f5-11cb-41b5-ba80-cbb511d37283.png,1.output_png_schede/384af2f5-11cb-41b5-ba80-cbb511d37283.png,exported
calabria/1800178855_KR_Cirò_edificio singolo_masseria fortificata,download (13).pdf,0.original_foto_schede/calabria/1800178855_KR_Cirò_edificio singolo_masseria fortificata/download (13).pdf,1800178855,3586,e7456750-ce6f-45ad-b9ff-6a1521361bc7,e7456750-ce6f-45ad-b9ff-6a1521361bc7.png,1.output_png_schede/e7456750-ce6f-45ad-b9ff-6a1521361bc7.png,exported
calabria/1800178863_KR_Cutro_complesso_masseria a corte,download (13).pdf,0.original_foto_schede/calabria/1800178863_KR_Cutro_complesso_masseria a corte/download (13).pdf,1800178863,3841,0ee51f3c-23f1-49fe-9147-bd1b61b0b0ac,0ee51f3c-23f1-49fe-9147-bd1b61b0b0ac.png,1.output_png_schede/0ee51f3c-23f1-49fe-9147-bd1b61b0b0ac.png,exported
calabria/1800178881_RC_Gioiosa Jonica_edificio con annessi_casa a padiglione,download (13).pdf,0.original_foto_schede/calabria/1800178881_RC_Gioiosa Jonica_edificio con annessi_casa a padiglione/download (13).pdf,1800178881,2059,df9bf84e-5d1d-4c7d-bd22-e1db539b3689,df9bf84e-5d1d-4c7d-bd22-e1db539b3689.png,1.output_png_schede/df9bf84e-5d1d-4c7d-bd22-e1db539b3689.png,exported
calabria/1800194432_KR_Cirò Marina_complesso_casa edifici affiancati,download (13).pdf,0.original_foto_schede/calabria/1800194432_KR_Cirò Marina_complesso_casa edifici affiancati/download (13).pdf,1800194432,23084,fbbd9c47-12f0-4d02-91b1-84d7659caffe,fbbd9c47-12f0-4d02-91b1-84d7659caffe.png,1.output_png_schede/fbbd9c47-12f0-4d02-91b1-84d7659caffe.png,exported
calabria/1800194451_KR_Crotone_complesso_masseria con torre,download (13).pdf,0.original_foto_schede/calabria/1800194451_KR_Crotone_complesso_masseria con torre/download (13).pdf,1800194451,23209,6c0505a7-6afa-42cf-af69-a568acca04bc,6c0505a7-6afa-42cf-af69-a568acca04bc.png,1.output_png_schede/6c0505a7-6afa-42cf-af69-a568acca04bc.png,exported
