folder,pdf_name,pdf_path,iccd_code,csv_index,id_scheda_originale,pdf_png_name,pdf_png_path,pdf_status,image_candidates,selected_image_name,selected_image_path,random_image_name,random_image_path,image_status,status
abruzzo/1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi,1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi.pdf,0.original_foto_schede/abruzzo/1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi/1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi.pdf,1300309704,6994,6d183a01-cb70-45c7-8a14-530f8670b5ce,6d183a01-cb70-45c7-8a14-530f8670b5ce.png,1.output_png_schede/6d183a01-cb70-45c7-8a14-530f8670b5ce.png,already_exists,6,CH_Ortona_MasseriaBerardi_facciataSudOvest.jpg,0.original_foto_schede/abruzzo/1300309704_CH_Ortona_EDSING_scala est_Masseria Berardi/CH_Ortona_MasseriaBerardi_facciataSudOvest.jpg,6d183a01-cb70-45c7-8a14-530f8670b5ce.jpg,2.output_images_random/6d183a01-cb70-45c7-8a14-530f8670b5ce.jpg,copied,matched
abruzzo/1300309779_PE_Mosciano Sant_Angelo_EDNN_scala esterna coperta,"Mosciano_Masseria Tattoni, _EDANN_casa scala esterna.pdf","0.original_foto_schede/abruzzo/1300309779_PE_Mosciano Sant_Angelo_EDNN_scala esterna coperta/Mosciano_Masseria Tattoni, _EDANN_casa scala esterna.pdf",,,,,,,0,,,,,,no_matching_iccd_code
abruzzo/1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi,1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi.pdf,0.original_foto_schede/abruzzo/1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi/1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi.pdf,1300310044,7320,73c1a68c-2463-4368-8601-caf96d07678f,73c1a68c-2463-4368-8601-caf96d07678f.png,1.output_png_schede/73c1a68c-2463-4368-8601-caf96d07678f.png,already_exists,4,AQ_Balsorano_Casa_Alfonsi_parete_sudest.jpg,0.original_foto_schede/abruzzo/1300310044_AQ_Balsorano_EDSING_casa pendio_Alfonsi/AQ_Balsorano_Casa_Alfonsi_parete_sudest.jpg,73c1a68c-2463-4368-8601-caf96d07678f.jpg,2.output_images_random/73c1a68c-2463-4368-8601-caf96d07678f.jpg,copied,matched
abruzzo/1300310088_CH_Casoli_EDSING_scala est,1300310088_CH_Casoli_EDSING_scala est.pdf,0.original_foto_schede/abruzzo/1300310088_CH_Casoli_EDSING_scala est/1300310088_CH_Casoli_EDSING_scala est.pdf,1300310088,7344,6ad295a2-8456-478d-8919-5f3f134d8a77,6ad295a2-8456-478d-8919-5f3f134d8a77.png,1.output_png_schede/6ad295a2-8456-478d-8919-5f3f134d8a77.png,already_exists,7,CH_Casoli_Contrada_Guerenna_Nuova (3)_prospetto_SO_SE_contesto.jpg,0.original_foto_schede/abruzzo/1300310088_CH_Casoli_EDSING_scala est/CH_Casoli_Contrada_Guerenna_Nuova (3)_prospetto_SO_SE_contesto.jpg,6ad295a2-8456-478d-8919-5f3f134d8a77.jpg,2.output_images_random/6ad295a2-8456-478d-8919-5f3f134d8a77.jpg,copied,matched
abruzzo/1300310328_PE_Penne_EDSING_casa pendio_Formica2,1300310328_PE_Penne_EDSING_casa pendio_Formica2.pdf,0.original_foto_schede/abruzzo/1300310328_PE_Penne_EDSING_casa pendio_Formica2/1300310328_PE_Penne_EDSING_casa pendio_Formica2.pdf,1300310328,24581,bbd50aa9-fd4e-4ba6-8e18-05db10aa7726,bbd50aa9-fd4e-4ba6-8e18-05db10aa7726.png,1.output_png_schede/bbd50aa9-fd4e-4ba6-8e18-05db10aa7726.png,already_exists,6,1_PE_Penne_Contrada_Colle_Formica (2)_prospetto_NE_contesto.JPG,0.original_foto_schede/abruzzo/1300310328_PE_Penne_EDSING_casa pendio_Formica2/1_PE_Penne_Contrada_Colle_Formica (2)_prospetto_NE_contesto.JPG,bbd50aa9-fd4e-4ba6-8e18-05db10aa7726.jpg,2.output_images_random/bbd50aa9-fd4e-4ba6-8e18-05db10aa7726.jpg,copied,matched
abruzzo/1300310329_PE_Penne_EDSING_casolare_Formica3,1300310329_PE_Penne_EDSING_casolare_Formica2.pdf,0.original_foto_schede/abruzzo/1300310329_PE_Penne_EDSING_casolare_Formica3/1300310329_PE_Penne_EDSING_casolare_Formica2.pdf,1300310329,24612,e9d4ff11-ecea-4f5f-94d7-32668d4de9b0,e9d4ff11-ecea-4f5f-94d7-32668d4de9b0.png,1.output_png_schede/e9d4ff11-ecea-4f5f-94d7-32668d4de9b0.png,already_exists,7,4_PE_Penne_Contrada_Formica (3)_prospetto_NO.JPG,0.original_foto_schede/abruzzo/1300310329_PE_Penne_EDSING_casolare_Formica3/4_PE_Penne_Contrada_Formica (3)_prospetto_NO.JPG,e9d4ff11-ecea-4f5f-94d7-32668d4de9b0.jpg,2.output_images_random/e9d4ff11-ecea-4f5f-94d7-32668d4de9b0.jpg,copied,matched
abruzzo/1300310587_TE_Notaresco_EDANN_casa,1300310587_TE_Notaresco_EDANN_casa.pdf,0.original_foto_schede/abruzzo/1300310587_TE_Notaresco_EDANN_casa/1300310587_TE_Notaresco_EDANN_casa.pdf,1300310587,3231,b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e,b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e.png,1.output_png_schede/b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e.png,already_exists,9,TE_NOTARESCO_CASA_FORCELLA_ANNESSO_2_PROSPETTO_SUD.JPG,0.original_foto_schede/abruzzo/1300310587_TE_Notaresco_EDANN_casa/TE_NOTARESCO_CASA_FORCELLA_ANNESSO_2_PROSPETTO_SUD.JPG,b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e.jpg,2.output_images_random/b9b9d1fe-38f2-4d25-a6df-312e0d57cc0e.jpg,copied,matched
abruzzo/1300310722_CH_Frisa_EDANN_casolare,CH_Frisa_EDANN_casolare.pdf,0.original_foto_schede/abruzzo/1300310722_CH_Frisa_EDANN_casolare/CH_Frisa_EDANN_casolare.pdf,1300310722,31400,aa81d643-2cb8-4036-a835-1d00ef8e5160,aa81d643-2cb8-4036-a835-1d00ef8e5160.png,1.output_png_schede/aa81d643-2cb8-4036-a835-1d00ef8e5160.png,already_exists,8,5_CH_Frisa_Contrada_Santa_maria_del_Popolo (2)_prospetto_sud_dettaglio_pozzo.jpg,0.original_foto_schede/abruzzo/1300310722_CH_Frisa_EDANN_casolare/5_CH_Frisa_Contrada_Santa_maria_del_Popolo (2)_prospetto_sud_dettaglio_pozzo.jpg,aa81d643-2cb8-4036-a835-1d00ef8e5160.jpg,2.output_images_random/aa81d643-2cb8-4036-a835-1d00ef8e5160.jpg,copied,matched
abruzzo/1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo,1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo.pdf,0.original_foto_schede/abruzzo/1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo/1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo.pdf,1300310736,28781,1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae,1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae.png,1.output_png_schede/1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae.png,already_exists,3,AQ_Castel_di_Sangro_masseria_s.angelo_contesto.jpg,0.original_foto_schede/abruzzo/1300310736_AQ_Castel di Sangro_EDSING_Masseria S Angelo/AQ_Castel_di_Sangro_masseria_s.angelo_contesto.jpg,1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae.jpg,2.output_images_random/1ae4dac2-d3d3-455b-8d3d-3cb557f2f7ae.jpg,copied,matched
abruzzo/1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico,1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico.pdf,0.original_foto_schede/abruzzo/1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico/1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico.pdf,1300310738,33310,3e2be11e-aa89-43c5-b790-b1df4abccc14,3e2be11e-aa89-43c5-b790-b1df4abccc14.png,1.output_png_schede/3e2be11e-aa89-43c5-b790-b1df4abccc14.png,already_exists,5,AQ_Castel_di_Sangro_masseria_d_amico_contesto.jpg,0.original_foto_schede/abruzzo/1300310738_AQ_Castel di Sangro_EDANN_Masseria D_Amico/AQ_Castel_di_Sangro_masseria_d_amico_contesto.jpg,3e2be11e-aa89-43c5-b790-b1df4abccc14.jpg,2.output_images_random/3e2be11e-aa89-43c5-b790-b1df4abccc14.jpg,copied,matched
